Object Name,Game Location,Pixel Sprite (in-game),Description of the Object in the Real World (and its meaning for knowledge and culture),Connection to TOK Knowledge Questions (with suggested answers and reasons),Learn More (MLA),"Components When Dissected (claims, fact, materials)",Icon,Rarity,Concept,Framework Element,Subject,In-Game Effect,Sprite Template,Object ID
"Hippocratic Oath Papyrus, Oxyrhynchus, 3rd Century CE",The Great Library: first-win reward of the Socratic Serve trial,Generated in-game (template: scroll),"This papyrus fragment from Oxyrhynchus in Egypt preserves part of the Hippocratic Oath, copied around the 3rd century CE. The oath, credited to the circle of Hippocrates, binds healers to help patients and avoid harm. Medical schools today use rewritten versions, and few keep the original text.","KQ: Why do professions bind new knowers with promises?

Suggested answer 1: An oath converts skill into trust. The text swears the healer to help and never harm, so patients can submit to a stranger's knife.

Suggested answer 2: Promises age. The old oath invokes Greek gods and bans practices doctors now perform, so each era rewrites the vow while keeping the ritual.","""Hippocratic Oath."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Hippocratic_Oath. | ""Hippocratic oath."" Encyclopaedia Britannica, n.d., www.britannica.com/topic/Hippocratic-oath.","Claim card 1: An oath converts skill into trust. | Claim card 2: Promises age. | Fact card: This papyrus fragment from Oxyrhynchus in Egypt preserves part of the Hippocratic Oath, copied around the 3rd century CE. | Materials: 2 Paper, 1 Charcoal",🩺,Epic,Values,Ethics,Philosophy,Carried: Perspective Token (Values),scroll,r61_081
"Sokal's Hoax Paper in Social Text, Spring 1996",The Hall of Mirrors: first-win reward of the Fallacy Volley trial,Generated in-game (template: card),"Physicist Alan Sokal submitted a deliberately absurd article framing quantum gravity as a cultural construct to the journal Social Text, which published it in spring 1996. Sokal revealed the hoax immediately in another magazine. The affair fed lasting arguments about rigour, peer review, and the science wars.","KQ: What does a successful hoax prove about a field's standards?

Suggested answer 1: The acceptance exposed a gap. Editors published flattering nonsense without expert review, so the hoax showed prestige and ideology standing in for checking.

Suggested answer 2: One sting proves less than it seems. A single journal fooled once is a data point, not a verdict on whole disciplines, so critics ask for a fair sample too.","""Sokal affair."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Sokal_affair.","Claim card 1: The acceptance exposed a gap. | Claim card 2: One sting proves less than it seems. | Fact card: Physicist Alan Sokal submitted a deliberately absurd article framing quantum gravity as a cultural construct to the journal Social Text, which… | Materials: 2 Paper, 1 Charcoal",🃏,Rare,Justification,Methods and Tools,Philosophy,Carried: trial bonus (reveal),card,r61_082
"Treaty of Waitangi, Two-Language Parchment, 1840",The Tower of Tongues: given by Missionary printer Colenso after an exchange,Generated in-game (template: scroll),"British officials and over 500 Maori chiefs signed this treaty from 6 February 1840, most signing the Maori text. The translation renders sovereignty as kawanatanga, governorship, while guaranteeing chiefs tino rangatiratanga, full authority. The Waitangi Tribunal has examined claims arising from the gap since 1975.","KQ: Can a treaty exist in two languages and remain one agreement?

Suggested answer 1: The versions promise different things. The English text takes sovereignty while the Maori text cedes governorship and keeps chiefly authority, so signers agreed to different documents.

Suggested answer 2: Living institutions can bridge texts. New Zealand's tribunal now weighs both versions and their spirit, so interpretation became a continuing duty, not a one-day event.","""Treaty of Waitangi."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Treaty_of_Waitangi.","Claim card 1: The versions promise different things. | Claim card 2: Living institutions can bridge texts. | Fact card: British officials and over 500 Maori chiefs signed this treaty from 6 February 1840, most signing the Maori text. | Materials: 2 Paper, 1 Cord",🤝,Epic,Interpretation,Perspectives,Global Politics,Carried: Perspective Token (Interpretation),scroll,r61_083
"Champollion's Lettre a M. Dacier, Paris, 1822",The Tower of Tongues: first-win reward of the Rung Climb trial,Generated in-game (template: book),"Jean-Francois Champollion announced his decipherment of hieroglyphs in this letter read to the French Academy on 27 September 1822, building on the Rosetta Stone and Thomas Young's partial results. He showed the script mixes sound signs and meaning signs. Egyptology dates its birth to the letter.","KQ: How does a single announcement turn scattered clues into a discipline?

Suggested answer 1: The letter assembled other people's steps. Young's sign values and the Rosetta Stone's three scripts fed Champollion's leap, so the breakthrough crowned a relay, not a solo race.

Suggested answer 2: Announcement also claims territory. He rushed the letter to the Academy to fix priority over rivals, so the founding paper of Egyptology is equally a flag.","""Jean-Francois Champollion."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Jean-Fran%C3%A7ois_Champollion. | ""Rosetta Stone."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Rosetta_Stone.","Claim card 1: The letter assembled other people's steps. | Claim card 2: Announcement also claims territory. | Fact card: Jean-Francois Champollion announced his decipherment of hieroglyphs in this letter read to the French Academy on 27 September 1822, building on the… | Materials: 2 Paper, 1 Cord",🦅,Epic,Explanation,Methods and Tools,Language B,Carried: Perspective Token (Explanation),book,r61_084
"Yirrkala Bark Petitions, Yolngu to Parliament, 1963",Songlines Country: given by A Yolngu elder after an exchange,Generated in-game (template: painting),"Yolngu clans of Yirrkala sent these petitions to Australia's Parliament in August 1963, protesting bauxite mining approved on their land without consultation. Typed text in Gumatj and English sits inside painted bark borders carrying clan law. Parliament displays them, and they helped open the legal road toward land rights.","KQ: What must knowledge wear to be admitted into an institution?

Suggested answer 1: The petitions dressed law in two systems. Typed English sat framed by painted clan designs asserting title, so the document spoke both to Parliament and from country.

Suggested answer 2: Admission required the colonizer's form. Only the typed clauses had standing in 1963, so the bark's own law waited decades for courts to begin listening.","""Yirrkala bark petitions."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Yirrkala_bark_petitions.","Claim card 1: The petitions dressed law in two systems. | Claim card 2: Admission required the colonizer's form. | Fact card: Yolngu clans of Yirrkala sent these petitions to Australia's Parliament in August 1963, protesting bauxite mining approved on their land without… | Materials: 2 Pigment, 1 Cord",🖼️,Epic,Culture,Ethics,Global Politics,Carried: Perspective Token (Culture),painting,r61_085
"Galileo's Refracting Telescope, Padua, 1609",Ulugh Beg's Observatory: given by Keeper Renzo after an exchange,Generated in-game (template: telescope),Galileo built this refracting telescope in 1609 in Padua. He turned it upward and mapped four moons circling Jupiter. His sightings gave the Sun-centred model physical support and alarmed church authorities.,"KQ: How far can a new instrument change what counts as evidence?

Suggested answer 1: A better lens can reveal facts older eyes missed. Galileo saw Jupiter's moons, so the heavens gained new objects to explain.

Suggested answer 2: An instrument can also mislead. Early lenses blurred images, so critics asked if the moons lived in the glass, not the sky.","""Galileo Galilei."" Encyclopaedia Britannica, n.d., www.britannica.com/biography/Galileo-Galilei. | ""Galileo Galilei."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Galileo_Galilei.","Claim card 1: A better lens can reveal facts older eyes missed. | Claim card 2: An instrument can also mislead. | Fact card: Galileo built this refracting telescope in 1609 in Padua. | Materials: 2 Brass, 1 Cord",🔭,Common,Evidence,Methods and Tools,Physics,On finding: +12 Evidence insight,telescope,r62_001
"Antikythera Mechanism, Aegean Shipwreck, c. 100 BCE",Ulugh Beg's Observatory: first-win reward of the Cipher of the Stacks trial,Generated in-game (template: machine),"Divers found this bronze gear device in a Roman-era shipwreck near Antikythera in 1901. Its many gears modelled the Moon, Sun, and eclipse cycles. The design shows Greek engineers reached a precision lost for over a thousand years.","KQ: Who decides when an object counts as a computer?

Suggested answer 1: Function can define the name. The gears predicted eclipses, so historians call it an analogue computer.

Suggested answer 2: Labels can mislead across eras. The maker had no word for computer, so the name reflects our present, not theirs.","""Antikythera mechanism."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Antikythera_mechanism. | ""Antikythera Mechanism."" Encyclopaedia Britannica, n.d., www.britannica.com/topic/Antikythera-mechanism.","Claim card 1: Function can define the name. | Claim card 2: Labels can mislead across eras. | Fact card: Divers found this bronze gear device in a Roman-era shipwreck near Antikythera in 1901. | Materials: 2 Silicon, 1 Resin",⚙️,Common,Explanation,Methods and Tools,Mathematics,On finding: +10 Explanation insight,machine,r62_002
"Lucy, Australopithecus afarensis Skeleton, Hadar, 1974",The Beagle's Wake: in the open (Field Search or floor pickup),Generated in-game (template: bone),"Donald Johanson found this 3.2 million year old skeleton in Ethiopia in 1974. About 40 percent of the bones survived, a rare fraction for a hominin. Lucy showed upright walking came before big brains.","KQ: To what extent do our own values shape how we read a fossil?

Suggested answer 1: Bones set limits on stories. Lucy's pelvis and knee show upright walking, so any account must fit her anatomy.

Suggested answer 2: Gaps invite our bias. We cannot hear her voice, so writers often paint her with modern family scenes.","""Lucy (Australopithecus)."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Lucy_(Australopithecus). | ""Lucy."" Encyclopaedia Britannica, n.d., www.britannica.com/topic/Lucy-fossil.","Claim card 1: Bones set limits on stories. | Claim card 2: Gaps invite our bias. | Fact card: Donald Johanson found this 3.2 million year old skeleton in Ethiopia in 1974. | Materials: 2 Bone, 1 Resin",🦴,Epic,Interpretation,Perspectives,Biology,Carried: Perspective Token (Interpretation),bone,r62_003
"TI-84 Plus Graphing Calculator, Texas Instruments, 2004","The Exchange stall (delivered from The Engine Bazaar), about 40 lumens",Generated in-game (template: gameboard),"Texas Instruments released the TI-84 Plus in 2004. Exam boards approved it, so it filled maths classrooms worldwide for two decades. Its fixed design outlived far faster phones.","KQ: Under what circumstances does a tool replace the reasoning behind an answer?

Suggested answer 1: A machine can hide method. The screen shows a graph, so a student may trust the curve without checking the algebra.

Suggested answer 2: A tool can free the mind for harder questions. The device handles arithmetic, so learners spend time on meaning.","""TI-84 Plus series."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/TI-84_Plus_series.","Claim card 1: A machine can hide method. | Claim card 2: A tool can free the mind for harder questions. | Fact card: Texas Instruments released the TI-84 Plus in 2004. | Materials: 2 Wood, 1 Charcoal",🧮,Common,Justification,Methods and Tools,Mathematics,On finding: +9 Justification insight,gameboard,r62_004
"Marine Chronometer H4, John Harrison, 1761",Wayfinder's Ocean: given by Keeper Alva after an exchange,Generated in-game (template: scale),"John Harrison finished H4 in 1759 and it passed sea trials to Jamaica by 1762. The watch lost only seconds across weeks, solving the longitude problem. Accurate clocks let ships map their place on open ocean.","KQ: How far can a single instrument settle a question of certainty?

Suggested answer 1: Precision can turn guesswork into knowledge. H4 kept time at sea, so sailors fixed longitude within miles.

Suggested answer 2: One device rarely ends doubt alone. Officials retested H4 for years before they trusted the numbers.","""John Harrison."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/John_Harrison. | ""John Harrison."" Encyclopaedia Britannica, n.d., www.britannica.com/biography/John-Harrison.","Claim card 1: Precision can turn guesswork into knowledge. | Claim card 2: One device rarely ends doubt alone. | Fact card: John Harrison finished H4 in 1759 and it passed sea trials to Jamaica by 1762. | Materials: 2 Brass, 1 Charcoal",⏱️,Rare,Certainty,Scope,Geography,Carried: +2 Vigor for trials,scale,r62_005
"Darwin's Galapagos Mockingbird Skins, 1835","The Beagle's Wake: hidden. Hint: Behind the third specimen drawer, wrapped in old field cloth.",Generated in-game (template: flask),Darwin collected mockingbirds across the Galapagos in 1835. He noticed each island held its own form. These labelled skins pushed him toward descent with change.,"KQ: What role does careful labelling play in building an argument?

Suggested answer 1: Labels can carry the proof. Darwin tagged mockingbirds by island, so he later saw the pattern of change.

Suggested answer 2: Poor labels can bury a discovery. He mixed some finch tags, so he leaned on the mockingbirds instead.","""Charles Darwin."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Charles_Darwin. | ""Charles Darwin."" Encyclopaedia Britannica, n.d., www.britannica.com/biography/Charles-Darwin.","Claim card 1: Labels can carry the proof. | Claim card 2: Poor labels can bury a discovery. | Fact card: Darwin collected mockingbirds across the Galapagos in 1835. | Materials: 2 Glass, 1 Charcoal",🐦,Common,Evidence,Scope,Biology,On finding: +11 Evidence insight,flask,r62_006
"Roentgen's First X-Ray of a Human Hand, 1895",Royal Society Court: in the open (Field Search or floor pickup),Generated in-game (template: flask),Wilhelm Roentgen made this X-ray of his wife's hand in 1895 in Wurzburg. Her ring floats over the finger bones. The picture launched medical imaging within months.,"KQ: Under what circumstances do we believe an image over our own eyes?

Suggested answer 1: A machine can show hidden facts. The plate revealed bones through flesh, so doctors trusted the shadow.

Suggested answer 2: Images can unsettle more than convince. Anna Bertha saw her own skeleton and said she had seen her death.","""X-ray."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/X-ray. | ""Wilhelm Conrad Roentgen."" Encyclopaedia Britannica, n.d., www.britannica.com/biography/Wilhelm-Conrad-Rontgen.","Claim card 1: A machine can show hidden facts. | Claim card 2: Images can unsettle more than convince. | Fact card: Wilhelm Roentgen made this X-ray of his wife's hand in 1895 in Wurzburg. | Materials: 2 Glass, 1 Cord",🩻,Common,Truth,Methods and Tools,Physics,On finding: +12 Truth insight,flask,r62_007
"Milgram Obedience Shock Generator, Yale, 1961",Seoul: given by Dr. Hale after an exchange,Generated in-game (template: flask),"Stanley Milgram ran his obedience study at Yale from 1961. Volunteers believed they shocked a stranger on command. The fake generator exposed how ordinary people follow orders, and it changed research ethics rules.","KQ: Who carries responsibility when a study harms the people inside it?

Suggested answer 1: Designers own the setup. Milgram built the pressure, so the distress falls to him.

Suggested answer 2: Knowers gain from results. The study warned the world about obedience, so society shares the moral bill.","""Milgram experiment."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Milgram_experiment. | ""Stanley Milgram."" Encyclopaedia Britannica, n.d., www.britannica.com/biography/Stanley-Milgram.","Claim card 1: Designers own the setup. | Claim card 2: Knowers gain from results. | Fact card: Stanley Milgram ran his obedience study at Yale from 1961. | Materials: 2 Glass, 1 Charcoal",🎚️,Rare,Responsibility,Ethics,Psychology,Carried: trial bonus (reveal),flask,r62_008
"Rosalind Franklin's Photo 51, London, 1952",Royal Society Court: first-win reward of the Perspective Prism trial,Generated in-game (template: camera),"Rosalind Franklin and Raymond Gosling captured Photo 51 in 1952 using X-ray diffraction. The cross pattern pointed to a double helix. Watson saw the picture without her knowledge, which shaped the 1953 model.","KQ: Whose viewpoint gets recorded when a discovery has many hands?

Suggested answer 1: Credit can follow the loudest voice. Watson and Crick published the model, so their names lead the story.

Suggested answer 2: The image holds its own maker. Franklin's X-ray caught the helix, so her method sits at the centre.","""Photo 51."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Photo_51. | ""Rosalind Franklin."" Encyclopaedia Britannica, n.d., www.britannica.com/biography/Rosalind-Franklin.","Claim card 1: Credit can follow the loudest voice. | Claim card 2: The image holds its own maker. | Fact card: Rosalind Franklin and Raymond Gosling captured Photo 51 in 1952 using X-ray diffraction. | Materials: 2 Glass, 1 Charcoal",📷,Common,Perspective,Perspectives,Chemistry,On finding: +10 Perspective insight,camera,r62_009
"Wehrmacht Enigma I Cipher Machine, 1930s",Hut 8: in the open (Field Search or floor pickup),Generated in-game (template: chest),"The German military used Enigma machines to scramble radio messages from the 1920s through 1945. Rotors gave billions of settings each day. Polish and British codebreakers cracked it, which shortened the Second World War.","KQ: How does control of a code shape who holds power?

Suggested answer 1: Secrecy can hand one side an edge. German commanders trusted Enigma, so they spoke freely by radio.

Suggested answer 2: Broken secrecy shifts the edge back. Bletchley read the traffic, so the advantage quietly changed hands.","""Enigma machine."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Enigma_machine. | ""Enigma."" Encyclopaedia Britannica, n.d., www.britannica.com/topic/Enigma-German-code-device.","Claim card 1: Secrecy can hand one side an edge. | Claim card 2: Broken secrecy shifts the edge back. | Fact card: The German military used Enigma machines to scramble radio messages from the 1920s through 1945. | Materials: 2 Wood, 1 Charcoal",🔐,Legendary,Power,Ethics,Computer Science,Key to door_ns,chest,r62_010
"Turing-Welchman Bombe, Bletchley Park, 1940",Hut 8: hidden. Hint: Tucked under the false floor panel by the drum racks.,Generated in-game (template: machine),Alan Turing and Gordon Welchman designed the Bombe in 1939 and 1940. Rows of drums tested Enigma settings fast. The machine let Hut 8 read German naval codes.,"KQ: What makes a machine a good explanation of a human idea?

Suggested answer 1: A device can prove a method runs. The Bombe searched Enigma settings, so Turing's logic left paper for metal.

Suggested answer 2: A machine hides the reasoning inside. Operators turned drums without grasping the maths behind them.","""Bombe."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Bombe. | ""Alan Turing."" Encyclopaedia Britannica, n.d., www.britannica.com/biography/Alan-Turing.","Claim card 1: A device can prove a method runs. | Claim card 2: A machine hides the reasoning inside. | Fact card: Alan Turing and Gordon Welchman designed the Bombe in 1939 and 1940. | Materials: 2 Silicon, 1 Charcoal",⚙️,Common,Explanation,Methods and Tools,Computer Science,On finding: +10 Explanation insight,machine,r62_011
"Brass Astrolabe of Ahmad al-Sarraj, 1328",Ulugh Beg's Observatory: in the open (Field Search or floor pickup),Generated in-game (template: globe),"Ahmad al-Sarraj made this brass astrolabe in 1328 in Syria. Its plates find star positions, local time, and the direction to Mecca. Islamic astronomers refined the instrument for centuries before it reached Europe.","KQ: How does culture shape the tools we build to read the sky?

Suggested answer 1: Faith can guide design. Muslim makers added prayer-time scales, so belief shaped the brass.

Suggested answer 2: Trade spreads a tool past its makers. Europeans copied the astrolabe, so one design crossed many cultures.","""Astrolabe."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Astrolabe. | ""Astrolabe."" Encyclopaedia Britannica, n.d., www.britannica.com/technology/astrolabe.","Claim card 1: Faith can guide design. | Claim card 2: Trade spreads a tool past its makers. | Fact card: Ahmad al-Sarraj made this brass astrolabe in 1328 in Syria. | Materials: 2 Paper, 1 Charcoal",🧭,Legendary,Culture,Methods and Tools,Physics,Carried: grants the Dowse ability,globe,r62_012
"Ulugh Beg's Fakhri Sextant, Samarkand, 1420s",Ulugh Beg's Observatory: given by Scribe Bilqis after an exchange,Generated in-game (template: tool),"Ulugh Beg built this giant meridian arc in Samarkand in the 1420s. Its radius reached about 40 metres, set in a trench. His star catalogue held over 1,000 entries, the best until Tycho Brahe.","KQ: To what extent can a bigger instrument bring us closer to objective measurement?

Suggested answer 1: Size can cut error. The huge arc let Ulugh Beg fix star positions to arc-minutes, so precision rose.

Suggested answer 2: Numbers still pass through people. Observers read the scale by eye, so human judgement stayed in the data.","""Ulugh Beg."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Ulugh_Beg. | ""Ulugh Beg."" Encyclopaedia Britannica, n.d., www.britannica.com/biography/Ulugh-Beg.","Claim card 1: Size can cut error. | Claim card 2: Numbers still pass through people. | Fact card: Ulugh Beg built this giant meridian arc in Samarkand in the 1420s. | Materials: 2 Wood, 1 Cord",📐,Epic,Objectivity,Scope,Physics,Carried: Perspective Token (Objectivity),tool,r62_013
"Fahrenheit's Mercury Thermometer, 1714","The Exchange stall (delivered from Royal Society Court), about 30 lumens",Generated in-game (template: flask),Daniel Fahrenheit built reliable mercury thermometers from 1714. He set fixed points and a fine scale. Standard thermometers let distant scientists compare heat with the same words.,"KQ: How far can a shared scale turn a feeling into a fact?

Suggested answer 1: A fixed scale ends debate about degree. Fahrenheit's mercury gave repeatable points, so hot became a number.

Suggested answer 2: Scales still rest on choices. He picked odd anchor points, so the numbers carry his decisions.","""Daniel Gabriel Fahrenheit."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Daniel_Gabriel_Fahrenheit. | ""Daniel Fahrenheit."" Encyclopaedia Britannica, n.d., www.britannica.com/biography/Daniel-Fahrenheit.","Claim card 1: A fixed scale ends debate about degree. | Claim card 2: Scales still rest on choices. | Fact card: Daniel Fahrenheit built reliable mercury thermometers from 1714. | Materials: 2 Glass, 1 Cord",🌡️,Common,Certainty,Methods and Tools,Physics,On finding: +8 Certainty insight,flask,r62_014
"Laennec's Wooden Stethoscope, Paris, 1816",Royal Society Court: in the open (Field Search or floor pickup),Generated in-game (template: flask),Rene Laennec invented the stethoscope in Paris in 1816. He rolled paper into a tube to hear a patient's chest. The device let doctors judge the lungs and heart without cutting.,"KQ: What counts as good evidence when a doctor cannot see inside?

Suggested answer 1: Sound can stand as proof. Laennec heard the chest through wood, so listening became diagnosis.

Suggested answer 2: Ears can deceive. Two doctors hear one heartbeat and disagree, so the sign needs training to read.","""Stethoscope."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Stethoscope. | ""Rene Laennec."" Encyclopaedia Britannica, n.d., www.britannica.com/biography/Rene-Laennec.","Claim card 1: Sound can stand as proof. | Claim card 2: Ears can deceive. | Fact card: Rene Laennec invented the stethoscope in Paris in 1816. | Materials: 2 Glass, 1 Cord",🩺,Rare,Evidence,Methods and Tools,Biology,Carried: +1 Vigor for trials,flask,r62_015
"Nebra Sky Disc, Saxony-Anhalt, c. 1600 BCE",Ulugh Beg's Observatory: first-win reward of the Assumption Sweep trial,Generated in-game (template: flask),"Looters found the Nebra Sky Disc in Germany, dated to about 1600 BCE. Bronze and gold show the Sun, Moon, and stars. Scholars call it one of the oldest sky pictures, though its full use stays open.","KQ: How do we read meaning into an object from a lost culture?

Suggested answer 1: Patterns can anchor a reading. The gold dots match the Pleiades, so astronomers see a sky map.

Suggested answer 2: We fill silence with our own ideas. No text explains the disc, so each era reads its own myth.","""Nebra sky disc."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Nebra_sky_disc.","Claim card 1: Patterns can anchor a reading. | Claim card 2: We fill silence with our own ideas. | Fact card: Looters found the Nebra Sky Disc in Germany, dated to about 1600 BCE. | Materials: 2 Glass, 1 Resin",🌑,Common,Interpretation,Perspectives,History,On finding: +11 Interpretation insight,flask,r62_016
"Fleming's Penicillin Culture Plate, London, 1928",Royal Society Court: in the open (Field Search or floor pickup),Generated in-game (template: flask),Alexander Fleming spotted mould killing bacteria on a stray plate in London in 1928. He named the substance penicillin. Florey and Chain turned it into a usable drug by 1941.,"KQ: Under what circumstances does an accident become knowledge?

Suggested answer 1: A trained eye turns luck into fact. Fleming noticed the clear ring, so mould became medicine.

Suggested answer 2: Accidents need patient testing. Others purified penicillin years later, so the plate alone cured no one.","""Penicillin."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Penicillin. | ""Alexander Fleming."" Encyclopaedia Britannica, n.d., www.britannica.com/biography/Alexander-Fleming.","Claim card 1: A trained eye turns luck into fact. | Claim card 2: Accidents need patient testing. | Fact card: Alexander Fleming spotted mould killing bacteria on a stray plate in London in 1928. | Materials: 2 Glass, 1 Resin",🧫,Common,Truth,Methods and Tools,Biology,On finding: +12 Truth insight,flask,r62_017
"CRISPR-Cas9 Gene-Editing Kit, 2012",The Engine Bazaar: given by Tech Ruan after an exchange,Generated in-game (template: flask),"Jennifer Doudna and Emmanuelle Charpentier described CRISPR-Cas9 as an editing tool in 2012. It cuts DNA at chosen spots. They won the 2020 Nobel Prize in Chemistry, as debate grew over editing humans.","KQ: Should some knowledge stay unused on ethical grounds?

Suggested answer 1: Some edits risk too much. Changing embryos passes changes to children, so caution guards the unborn.

Suggested answer 2: Refusing a cure carries its own cost. The tool can end genetic disease, so delay also harms people.","""CRISPR gene editing."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/CRISPR_gene_editing. | ""CRISPR."" Encyclopaedia Britannica, n.d., www.britannica.com/science/CRISPR.","Claim card 1: Some edits risk too much. | Claim card 2: Refusing a cure carries its own cost. | Fact card: Jennifer Doudna and Emmanuelle Charpentier described CRISPR-Cas9 as an editing tool in 2012. | Materials: 2 Glass, 1 Cord",🧬,Rare,Responsibility,Ethics,Biology,Carried: trial bonus (life),flask,r62_018
"Sputnik 1 Satellite, 1957",The Engine Bazaar: hidden. Hint: Sealed in the cold-storage locker behind the launch mural.,Generated in-game (template: radio),The Soviet Union launched Sputnik 1 on 4 October 1957. The metal sphere circled Earth and sent radio beeps for 21 days. Its flight shocked the United States and opened the space age.,"KQ: How far can a simple object shift the balance of power?

Suggested answer 1: A signal can carry fear. Sputnik's beeps proved Soviet reach, so the space race began.

Suggested answer 2: Symbols fade without follow-up. The satellite died in weeks, so lasting power needed far more.","""Sputnik 1."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Sputnik_1. | ""Sputnik."" Encyclopaedia Britannica, n.d., www.britannica.com/technology/Sputnik.","Claim card 1: A signal can carry fear. | Claim card 2: Symbols fade without follow-up. | Fact card: The Soviet Union launched Sputnik 1 on 4 October 1957. | Materials: 2 Silicon, 1 Cord",🛰️,Common,Power,Scope,Physics,On finding: +13 Power insight,radio,r62_019
"ENIAC Electronic Computer, Pennsylvania, 1945",The Engine Bazaar: in the open (Field Search or floor pickup),Generated in-game (template: machine),"Engineers unveiled ENIAC in 1945 at the University of Pennsylvania. It filled a room with 17,000 tubes. The machine computed artillery tables far faster than any human team.","KQ: What makes a machine's answer count as an explanation?

Suggested answer 1: Speed can build trust. ENIAC solved firing tables in seconds, so the army believed the output.

Suggested answer 2: Fast answers still need checking. Early runs held wiring errors, so people verified by hand.","""ENIAC."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/ENIAC. | ""ENIAC."" Encyclopaedia Britannica, n.d., www.britannica.com/technology/ENIAC.","Claim card 1: Speed can build trust. | Claim card 2: Fast answers still need checking. | Fact card: Engineers unveiled ENIAC in 1945 at the University of Pennsylvania. | Materials: 2 Silicon, 1 Cord",💻,Epic,Explanation,Methods and Tools,Computer Science,Carried: courier route to Hut 8,machine,r62_020
"HeLa Cell Line Vial, Baltimore, 1951",Seoul: given by Nurse Dalia after an exchange,Generated in-game (template: flask),"Doctors took cancer cells from Henrietta Lacks in 1951 without her consent. Her cells kept dividing, the first human line to survive in labs. HeLa cells shaped vaccines, cloning, and cancer studies for decades.","KQ: Who owns knowledge taken from a person's body?

Suggested answer 1: Consent should guide ownership. Doctors took Lacks's cells without asking, so her family holds a claim.

Suggested answer 2: Shared benefit complicates ownership. HeLa cells cured and saved millions, so the good spread far beyond one home.","""HeLa."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/HeLa. | ""Henrietta Lacks."" Encyclopaedia Britannica, n.d., www.britannica.com/biography/Henrietta-Lacks.","Claim card 1: Consent should guide ownership. | Claim card 2: Shared benefit complicates ownership. | Fact card: Doctors took cancer cells from Henrietta Lacks in 1951 without her consent. | Materials: 2 Glass, 1 Resin",🧫,Common,Responsibility,Ethics,Biology,On finding: +12 Responsibility insight,flask,r62_021
"Pfizer-BioNTech COVID-19 Vaccine Vial, 2020",Seoul: first-win reward of the Scales of Justification trial,Generated in-game (template: flask),"Pfizer and BioNTech released their mRNA COVID-19 vaccine in December 2020. Trials enrolled over 40,000 people. Regulators granted emergency use as the pandemic killed millions.","KQ: How much evidence do we need before we trust a new medicine?

Suggested answer 1: Fast trials can still convince. Tens of thousands joined the study, so the data held weight.

Suggested answer 2: Speed can feed doubt. The vaccine arrived in months, so some asked for longer safety records.","""Pfizer-BioNTech COVID-19 vaccine."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Pfizer%E2%80%93BioNTech_COVID-19_vaccine.","Claim card 1: Fast trials can still convince. | Claim card 2: Speed can feed doubt. | Fact card: Pfizer and BioNTech released their mRNA COVID-19 vaccine in December 2020. | Materials: 2 Glass, 1 Cord",💉,Common,Justification,Ethics,Biology,On finding: +10 Justification insight,flask,r62_022
