Activity ID,Assessment,Category,Skill Focus,Activity Type,Activity Title,Activity Description,Time (min),IB Criterion,Style Preference,Text Type(s),Text / Work Focus,Difficulty,Location,Format,Session Use,Exam Proximity,Materials,Energy Level,Support Level,Helps With,Why It Helps,Success Criteria,If You Are Stuck
IO-0011,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Colour Symbolism in Blake,Blake's visual and verbal colour choices are deliberate. 'White as snow' (Tom Dacre's hair in Innocence) carries connotations of purity and innocence. The 'black' of the chimney and the soot is both literal and symbolic.,2,A,"Visual, Linguistic, Solitary",Any,William Blake,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your Blake knowledge for the IO — his paired poems are a goldmine for global issues of power, innocence, and institutional control.",You can connect this poem's technique to your global issue in one spoken sentence.,Say the poem's title and finish aloud: 'This poem is really about…' Don't overthink — your gut reading is a fine starting point.
IO-0012,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,The Institution as Character,"In Blake's poems, institutions (the Church, the monarchy, the education system, the family) are often implicit antagonists. In any Blake poem you are studying, identify one institution being critiqued.",3,A,"Reading, Writing, Linguistic, Solitary",Any,William Blake,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your Blake knowledge for the IO — his paired poems are a goldmine for global issues of power, innocence, and institutional control.",You can connect this poem's technique to your global issue in one spoken sentence.,Say the poem's title and finish aloud: 'This poem is really about…' Don't overthink — your gut reading is a fine starting point.
IO-0013,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,The Voice of Authority,"In 'The Schoolboy' (Innocence) or 'Holy Thursday' (both versions), there is a voice of authority (the parent, the beadle, the institution). How does Blake use that voice's presence or absence to make his argument?",2,A,"Verbal, Linguistic, Solitary",Any,William Blake,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Speaking Confidence,"Builds your Blake knowledge for the IO — his paired poems are a goldmine for global issues of power, innocence, and institutional control.",You can connect this poem's technique to your global issue in one spoken sentence.,Say the poem's title and finish aloud: 'This poem is really about…' Don't overthink — your gut reading is a fine starting point.
IO-0014,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Single Line Close Read,"Pick one line from any Blake poem — the most loaded, strange, or unexpected line in the poem. Work through the Expand and Deepen framework for that single line: literal, figurative, technical, wider significance.",3,A,"Reading, Writing, Linguistic, Solitary",Any,William Blake,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your Blake knowledge for the IO — his paired poems are a goldmine for global issues of power, innocence, and institutional control.",You can connect this poem's technique to your global issue in one spoken sentence.,Say the poem's title and finish aloud: 'This poem is really about…' Don't overthink — your gut reading is a fine starting point.
IO-0015,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Tone Shift Tracking,"Read any Blake poem aloud twice. On the first read, mark where the tone shifts (a change in emotional register, pace, or speaker attitude). On the second read, ask why the shift happens there.",2,A,"Auditory, Linguistic, Solitary",Any,William Blake,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Analysis Depth, Speaking Confidence","Builds your Blake knowledge for the IO — his paired poems are a goldmine for global issues of power, innocence, and institutional control.",You can connect this poem's technique to your global issue in one spoken sentence.,Say the poem's title and finish aloud: 'This poem is really about…' Don't overthink — your gut reading is a fine starting point.
IO-0016,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Rhyme as Irony,"In 'Holy Thursday' (Experience), Blake uses a strict rhyme scheme to describe a scene of childhood poverty and misery. Write one analysis sentence about how the cheerful, ordered rhyme scheme creates an ironic contrast with the poem's subject matter.",2,A,"Auditory, Reading, Writing, Solitary",Any,William Blake,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Analysis Depth, Structure & Planning, Comparative Linking","Builds your Blake knowledge for the IO — his paired poems are a goldmine for global issues of power, innocence, and institutional control.",You can connect this poem's technique to your global issue in one spoken sentence.,Say the poem's title and finish aloud: 'This poem is really about…' Don't overthink — your gut reading is a fine starting point.
IO-0017,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Comparing Both Chimney Sweepers,"Write three comparative observations about the two 'Chimney Sweeper' poems: one about the speaker's perspective, one about the use of colour, and one about the poem's treatment of institutional religion.",5,A,"Reading, Writing, Linguistic, Solitary",Any,William Blake,Developing,At Home,Individual,Core Activity,Any Time,Pen & Paper,Medium — normal study energy,Some Scaffolding — guided but open,"Analysis Depth, Comparative Linking, Speaking Confidence","Builds your Blake knowledge for the IO — his paired poems are a goldmine for global issues of power, innocence, and institutional control.",You can connect this poem's technique to your global issue in one spoken sentence.,Say the poem's title and finish aloud: 'This poem is really about…' Don't overthink — your gut reading is a fine starting point.
IO-0018,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,The Absent Parent,"In several Blake poems, parents are absent, complicit, or actively harmful. Find one example and write one analysis sentence about what the parent's role (or absence) contributes to the poem's argument about institutional power and childhood.",2,A,"Reading, Writing, Linguistic, Solitary",Any,William Blake,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your Blake knowledge for the IO — his paired poems are a goldmine for global issues of power, innocence, and institutional control.",You can connect this poem's technique to your global issue in one spoken sentence.,Say the poem's title and finish aloud: 'This poem is really about…' Don't overthink — your gut reading is a fine starting point.
IO-0019,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,IO 10-Minute Mock Plan,"Plan a 10-minute IO structure in outline: 2 minutes of introduction (global issue, both texts, thesis), 3-4 minutes on Blake, 3-4 minutes on your non-literary IO text, 1 minute linking the two back to the global issue.",5,A,"Reading, Writing, Solitary",Any,William Blake,Developing,At Home,Individual,Core Activity,Any Time,Pen & Paper,Medium — normal study energy,Some Scaffolding — guided but open,"Getting Started, Structure & Planning, Comparative Linking","Builds your Blake knowledge for the IO — his paired poems are a goldmine for global issues of power, innocence, and institutional control.",You can connect this poem's technique to your global issue in one spoken sentence.,Say the poem's title and finish aloud: 'This poem is really about…' Don't overthink — your gut reading is a fine starting point.
IO-0020,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Image-Text Relationship,"Find any two-page spread from The Best We Could Do. How do the drawn panels and the written narration work together? Are they saying the same thing, or does the image add something the text does not say, or contradict it?",3,A,"Visual, Reading, Writing, Linguistic, Solitary",Any,Thi Bui,Developing,At Home,Individual,Warm-Up,Any Time,"Device, Pen & Paper",Low — fine when tired,Some Scaffolding — guided but open,"Analysis Depth, Speaking Confidence","Builds your knowledge of The Best We Could Do for the IO — how Bui's panels, gutters, and washes carry memory, displacement, and family.",You can describe one panel precisely and say what it shows about your global issue.,Open any chapter. Find one panel with no words. Ask: what is the image saying that words couldn't?
IO-0021,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Colour Palette Shift,"Bui's work uses a warm, limited colour palette (sepia, rust, and muted tones). What does this palette communicate about memory, history, and the act of looking backward? How would the memoir feel different in full colour or in black and white?",2,A,"Visual, Linguistic, Solitary",Any,Thi Bui,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your knowledge of The Best We Could Do for the IO — how Bui's panels, gutters, and washes carry memory, displacement, and family.",You can describe one panel precisely and say what it shows about your global issue.,Open any chapter. Find one panel with no words. Ask: what is the image saying that words couldn't?
IO-0022,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,The Body as Text,"In graphic memoir, the characters' bodies communicate emotion: posture, facial expression, physical proximity. Find a page in which the body language of the figures conveys something that the written narration does not state.",3,A,"Visual, Linguistic, Solitary",Any,Thi Bui,Developing,At Home,Individual,Warm-Up,Any Time,"Device, Pen & Paper",Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your knowledge of The Best We Could Do for the IO — how Bui's panels, gutters, and washes carry memory, displacement, and family.",You can describe one panel precisely and say what it shows about your global issue.,Open any chapter. Find one panel with no words. Ask: what is the image saying that words couldn't?
IO-0023,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Documentary vs. Memory Frame,"The Best We Could Do blends documentary-style pages (maps, historical images, statistics) with intimate, personal memory pages. Find one example of each.",3,A,"Visual, Linguistic, Solitary",Any,Thi Bui,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your knowledge of The Best We Could Do for the IO — how Bui's panels, gutters, and washes carry memory, displacement, and family.",You can describe one panel precisely and say what it shows about your global issue.,Open any chapter. Find one panel with no words. Ask: what is the image saying that words couldn't?
IO-0024,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,The Opening and Closing,The memoir opens with Bui's son's birth and closes with a reflection on what it means to be a parent and a refugee.,3,A,"Reading, Writing, Linguistic, Solitary",Any,Thi Bui,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Getting Started, Analysis Depth","Builds your knowledge of The Best We Could Do for the IO — how Bui's panels, gutters, and washes carry memory, displacement, and family.",You can describe one panel precisely and say what it shows about your global issue.,Open any chapter. Find one panel with no words. Ask: what is the image saying that words couldn't?
IO-0025,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Silence on the Page,"Find a page with significant visual silence: a panel with no words, or a very sparse composition. What argument is the silence making? What could only silence communicate that words or a busier composition could not?",2,A,"Visual, Linguistic, Solitary",Any,Thi Bui,Developing,At Home,Individual,Warm-Up,Any Time,Device,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your knowledge of The Best We Could Do for the IO — how Bui's panels, gutters, and washes carry memory, displacement, and family.",You can describe one panel precisely and say what it shows about your global issue.,Open any chapter. Find one panel with no words. Ask: what is the image saying that words couldn't?
IO-0026,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,The Vietnam War as Context,"The historical context of the Vietnam War, the fall of Saigon, and the refugee experience is essential to the memoir.",3,A,"Reading, Writing, Linguistic, Solitary",Any,Thi Bui,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your knowledge of The Best We Could Do for the IO — how Bui's panels, gutters, and washes carry memory, displacement, and family.",You can describe one panel precisely and say what it shows about your global issue.,Open any chapter. Find one panel with no words. Ask: what is the image saying that words couldn't?
IO-0027,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,IO Global Issue Link,"Write one thesis sentence linking The Best We Could Do to a global issue: power and privilege, identity, or human rights. Then write the same global issue thesis as it applies to one of your non-literary IO texts (Banksy, Kruger, or Gallenkuş).",5,A,"Reading, Writing, Linguistic, Solitary",Any,"Thi Bui, Banksy, Barbara Kruger, Ugur Gallenkuş",Developing,At Home,Individual,Core Activity,Any Time,Pen & Paper,Medium — normal study energy,Some Scaffolding — guided but open,Getting Started,"Builds your knowledge of The Best We Could Do for the IO — how Bui's panels, gutters, and washes carry memory, displacement, and family.",You can describe one panel precisely and say what it shows about your global issue.,Open any chapter. Find one panel with no words. Ask: what is the image saying that words couldn't?
IO-0028,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Parents as Protagonists,Much of The Best We Could Do is devoted to reconstructing the lives of Bui's parents before her own birth — events she could not have witnessed.,3,A,"Reading, Writing, Linguistic, Solitary",Any,Thi Bui,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your knowledge of The Best We Could Do for the IO — how Bui's panels, gutters, and washes carry memory, displacement, and family.",You can describe one panel precisely and say what it shows about your global issue.,Open any chapter. Find one panel with no words. Ask: what is the image saying that words couldn't?
IO-0029,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Hands in the Memoir,"Hands appear repeatedly as a significant visual motif in The Best We Could Do: hands holding, hands working, hands letting go. Find one significant panel featuring hands.",2,A,"Visual, Linguistic, Solitary",Any,Thi Bui,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Analysis Depth, Quotations & Evidence","Builds your knowledge of The Best We Could Do for the IO — how Bui's panels, gutters, and washes carry memory, displacement, and family.",You can describe one panel precisely and say what it shows about your global issue.,Open any chapter. Find one panel with no words. Ask: what is the image saying that words couldn't?
IO-0030,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Genre Conventions of Graphic Memoir,"The graphic memoir is a relatively recent genre. List three conventions of the genre that The Best We Could Do uses: panel structure, hand-drawn rather than photographed images, the narrating authorial voice.",3,A,"Reading, Writing, Linguistic, Solitary",Any,Thi Bui,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Structure & Planning, Speaking Confidence","Builds your knowledge of The Best We Could Do for the IO — how Bui's panels, gutters, and washes carry memory, displacement, and family.",You can describe one panel precisely and say what it shows about your global issue.,Open any chapter. Find one panel with no words. Ask: what is the image saying that words couldn't?
IO-0031,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Mock IO Introduction,Write and then speak aloud a 2-minute IO introduction using The Best We Could Do as your literary text.,5,A,"Auditory, Reading, Writing, Solitary",Any,Thi Bui,Developing,At Home,Individual,Core Activity,Any Time,Pen & Paper,Medium — normal study energy,Some Scaffolding — guided but open,"Getting Started, Structure & Planning, Comparative Linking, Speaking Confidence","Builds your knowledge of The Best We Could Do for the IO — how Bui's panels, gutters, and washes carry memory, displacement, and family.",You can describe one panel precisely and say what it shows about your global issue.,Open any chapter. Find one panel with no words. Ask: what is the image saying that words couldn't?
IO-0032,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Comparative IO Observation,"Write three comparative observations connecting The Best We Could Do to any one of the non-literary IO texts (Banksy, Kruger, or Gallenkuş).",5,A,"Reading, Writing, Linguistic, Solitary",Any,"Thi Bui, Banksy, Barbara Kruger, Ugur Gallenkuş",Developing,At Home,Individual,Core Activity,Any Time,Pen & Paper,Medium — normal study energy,Some Scaffolding — guided but open,"Analysis Depth, Comparative Linking","Builds your knowledge of The Best We Could Do for the IO — how Bui's panels, gutters, and washes carry memory, displacement, and family.",You can describe one panel precisely and say what it shows about your global issue.,Open any chapter. Find one panel with no words. Ask: what is the image saying that words couldn't?
IO-0033,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Location as Text,"Find any Banksy work (widely available through public image searches). Where was it originally placed? How does the physical location — a separation wall, an upmarket gallery district, a dilapidated urban wall — contribute to the work's argument?",2,A,"Visual, Linguistic, Solitary",Any,Banksy,Developing,At Home,Individual,Warm-Up,Any Time,Device,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your Banksy knowledge for the IO — how stencil, placement, and irony turn walls into arguments.",You can explain one work's visual irony and connect it to your global issue.,Describe the work to an imaginary friend in one sentence. The word you emphasise is your analysis lead.
IO-0034,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Stencil Aesthetic,"Banksy's stencil technique produces clean, graphic, reproducible images. What does the stencil aesthetic communicate: mass production, efficiency, accessibility, guerrilla speed? How does the technique align with or undermine the content of the work?",2,A,"Visual, Linguistic, Solitary",Any,Banksy,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Analysis Depth, Time Management","Builds your Banksy knowledge for the IO — how stencil, placement, and irony turn walls into arguments.",You can explain one work's visual irony and connect it to your global issue.,Describe the work to an imaginary friend in one sentence. The word you emphasise is your analysis lead.
IO-0035,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Subverting Commerce,"Many Banksy works appropriate the visual language of advertising (billboards, product logos, brand imagery) and subvert it. Find one such example. What is being subverted?",3,A,"Visual, Linguistic, Solitary",Any,Banksy,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your Banksy knowledge for the IO — how stencil, placement, and irony turn walls into arguments.",You can explain one work's visual irony and connect it to your global issue.,Describe the work to an imaginary friend in one sentence. The word you emphasise is your analysis lead.
IO-0036,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,The Juxtaposition Argument,Banksy's works often place two contrasting elements in the same image: a child flying a balloon shaped like a heart; a rat wielding a can of spray paint; a soldier drawing a peace sign.,3,A,"Visual, Linguistic, Solitary",Any,Banksy,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Analysis Depth, Comparative Linking","Builds your Banksy knowledge for the IO — how stencil, placement, and irony turn walls into arguments.",You can explain one work's visual irony and connect it to your global issue.,Describe the work to an imaginary friend in one sentence. The word you emphasise is your analysis lead.
IO-0037,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,The Anonymous Artist,"Banksy's anonymity is itself a text. What does the refusal to be named communicate? How does anonymity affect the work's relationship to celebrity, the art market, and the authority of the artist's 'brand'?",2,A,"Reading, Writing, Linguistic, Solitary",Any,Banksy,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your Banksy knowledge for the IO — how stencil, placement, and irony turn walls into arguments.",You can explain one work's visual irony and connect it to your global issue.,Describe the work to an imaginary friend in one sentence. The word you emphasise is your analysis lead.
IO-0038,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Banksy and the IO Global Issue,"Write one thesis sentence linking a specific Banksy work to a global issue. Which global issue (power and privilege, the environment, identity, economics) does the work most convincingly address?",5,A,"Reading, Writing, Linguistic, Solitary",Any,Banksy,Developing,At Home,Individual,Core Activity,Any Time,Pen & Paper,Medium — normal study energy,Some Scaffolding — guided but open,Getting Started,"Builds your Banksy knowledge for the IO — how stencil, placement, and irony turn walls into arguments.",You can explain one work's visual irony and connect it to your global issue.,Describe the work to an imaginary friend in one sentence. The word you emphasise is your analysis lead.
IO-0039,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Girl with Balloon Analysis,Analyse the recurring motif of the balloon girl (or any version of it). What does the balloon represent and what does the reaching gesture communicate?,3,A,"Visual, Linguistic, Solitary",Any,Banksy,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Highly Scaffolded — steps are laid out for you,"Analysis Depth, Quotations & Evidence","Builds your Banksy knowledge for the IO — how stencil, placement, and irony turn walls into arguments.",You can explain one work's visual irony and connect it to your global issue.,Describe the work to an imaginary friend in one sentence. The word you emphasise is your analysis lead.
IO-0040,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Text within Banksy,"Some Banksy works include text as well as image. Find one. How does the text anchor, extend, or ironise the visual content?",2,A,"Visual, Reading, Writing, Linguistic, Solitary",Any,Banksy,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your Banksy knowledge for the IO — how stencil, placement, and irony turn walls into arguments.",You can explain one work's visual irony and connect it to your global issue.,Describe the work to an imaginary friend in one sentence. The word you emphasise is your analysis lead.
IO-0041,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,The Reproduction Problem,"Banksy's works are street art — they can be painted over, damaged, or removed. But they are also widely reproduced digitally and sold in auction.",3,A,"Visual, Linguistic, Solitary",Any,Banksy,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your Banksy knowledge for the IO — how stencil, placement, and irony turn walls into arguments.",You can explain one work's visual irony and connect it to your global issue.,Describe the work to an imaginary friend in one sentence. The word you emphasise is your analysis lead.
IO-0042,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Comparing to Blake,"Write two comparative observations connecting Banksy to Blake: one about shared subject matter (power, institutions, the exploitation of the vulnerable) and one about shared technique (subversion of an expected form — for Blake the nursery rhyme, for…",5,A,"Reading, Writing, Linguistic, Solitary",Any,"William Blake, Banksy",Developing,At Home,Individual,Core Activity,Any Time,Pen & Paper,Medium — normal study energy,Some Scaffolding — guided but open,"Analysis Depth, Comparative Linking","Builds your Banksy knowledge for the IO — how stencil, placement, and irony turn walls into arguments.",You can explain one work's visual irony and connect it to your global issue.,Describe the work to an imaginary friend in one sentence. The word you emphasise is your analysis lead.
IO-0043,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,The Cut-Out Figures,"Banksy often places recognisable cultural figures — policemen, soldiers, monarchs, Mickey Mouse — in unexpected situations. How does the use of instantly recognisable figures (cultural icons) in subversive contexts create the argument?",2,A,"Visual, Linguistic, Solitary",Any,Banksy,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your Banksy knowledge for the IO — how stencil, placement, and irony turn walls into arguments.",You can explain one work's visual irony and connect it to your global issue.,Describe the work to an imaginary friend in one sentence. The word you emphasise is your analysis lead.
IO-0044,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Irony and Sincerity,"Is Banksy's work primarily ironic (distancing, self-aware, playful) or sincere (genuinely emotionally committed to its causes)? Write one analysis sentence arguing for each position using evidence from a specific work. Can a work be both?",2,A,"Reading, Writing, Linguistic, Solitary",Any,Banksy,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Analysis Depth, Quotations & Evidence","Builds your Banksy knowledge for the IO — how stencil, placement, and irony turn walls into arguments.",You can explain one work's visual irony and connect it to your global issue.,Describe the work to an imaginary friend in one sentence. The word you emphasise is your analysis lead.
IO-0045,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,The Kruger Visual System,"Describe the consistent visual system Kruger uses: black-and-white appropriated photography, red and white text bars, Futura Bold Oblique typeface. What does the visual consistency communicate about her practice?",2,A,"Visual, Linguistic, Solitary",Any,Barbara Kruger,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your Kruger knowledge for the IO — direct address, found images, and consumer critique in three colours.",You can explain what the pronouns (you/I/we) are doing in one work.,Read the slogan aloud. Who is 'you'? Who is 'we'? Answering that is half the analysis.
IO-0046,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Your Body / My Choice,"Analyse the pronoun work in Kruger's phrases: 'Your body is a battleground,' 'I shop therefore I am,' 'We don't need another hero.' Who is the 'your,' the 'I,' and the 'we'?",3,A,"Reading, Writing, Linguistic, Solitary",Any,Barbara Kruger,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your Kruger knowledge for the IO — direct address, found images, and consumer critique in three colours.",You can explain what the pronouns (you/I/we) are doing in one work.,Read the slogan aloud. Who is 'you'? Who is 'we'? Answering that is half the analysis.
IO-0047,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,The Appropriated Photograph,"Kruger appropriates (borrows and repurposes) existing photographs, typically from magazines of the 1950s and 1960s. What is the effect of using an image that already existed in a cultural context and placing new text over it?",3,A,"Visual, Linguistic, Solitary",Any,Barbara Kruger,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your Kruger knowledge for the IO — direct address, found images, and consumer critique in three colours.",You can explain what the pronouns (you/I/we) are doing in one work.,Read the slogan aloud. Who is 'you'? Who is 'we'? Answering that is half the analysis.
IO-0048,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Text as Weapon,"In Kruger's work, the text is placed over and on top of the image, literally covering it. What argument does the act of covering the image with text make about the relationship between language and power?",2,A,"Visual, Reading, Writing, Linguistic, Solitary",Any,Barbara Kruger,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your Kruger knowledge for the IO — direct address, found images, and consumer critique in three colours.",You can explain what the pronouns (you/I/we) are doing in one work.,Read the slogan aloud. Who is 'you'? Who is 'we'? Answering that is half the analysis.
IO-0049,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Consumer Culture Critique,Find a Kruger work that addresses consumerism or shopping. Write one analysis sentence that explains how the work critiques the ideology of consumerism using the visual and verbal choices available to it.,3,A,"Reading, Writing, Linguistic, Solitary",Any,Barbara Kruger,Developing,At Home,Individual,Warm-Up,Any Time,"Device, Pen & Paper",Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your Kruger knowledge for the IO — direct address, found images, and consumer critique in three colours.",You can explain what the pronouns (you/I/we) are doing in one work.,Read the slogan aloud. Who is 'you'? Who is 'we'? Answering that is half the analysis.
IO-0050,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Gender and Gaze,Many of Kruger's works address the male gaze: the way visual culture has historically positioned women as objects to be looked at rather than agents who look. Find one work that addresses this.,3,A,"Visual, Linguistic, Solitary",Any,Barbara Kruger,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your Kruger knowledge for the IO — direct address, found images, and consumer critique in three colours.",You can explain what the pronouns (you/I/we) are doing in one work.,Read the slogan aloud. Who is 'you'? Who is 'we'? Answering that is half the analysis.
IO-0051,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Kruger and the IO Global Issue,"Write a thesis sentence for any Kruger work linking it to a global issue. Which issue does the work most directly address: power and privilege, identity, politics/society, or economics?",5,A,"Reading, Writing, Linguistic, Solitary",Any,Barbara Kruger,Developing,At Home,Individual,Core Activity,Any Time,Pen & Paper,Medium — normal study energy,Some Scaffolding — guided but open,Getting Started,"Builds your Kruger knowledge for the IO — direct address, found images, and consumer critique in three colours.",You can explain what the pronouns (you/I/we) are doing in one work.,Read the slogan aloud. Who is 'you'? Who is 'we'? Answering that is half the analysis.
IO-0052,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Comparing Kruger and Blake,"Write two comparative observations connecting Kruger and Blake: one about shared critique of institutional power, one about shared use of a recognisable, accessible form (Blake's nursery rhyme; Kruger's advertising aesthetics) to critique the very va…",5,A,"Reading, Writing, Linguistic, Solitary",Any,"William Blake, Barbara Kruger",Developing,At Home,Individual,Core Activity,Any Time,Pen & Paper,Medium — normal study energy,Some Scaffolding — guided but open,Comparative Linking,"Builds your Kruger knowledge for the IO — direct address, found images, and consumer critique in three colours.",You can explain what the pronouns (you/I/we) are doing in one work.,Read the slogan aloud. Who is 'you'? Who is 'we'? Answering that is half the analysis.
IO-0053,Individual Oral,Strategic Reading,Close Reading & Interpretation,Skill Drill,Scale and Environment,Kruger's work has been displayed at enormous scales on building facades as well as at small scale in gallery contexts. How does the scale of the work change its meaning and its relationship to the viewer?,2,A,"Visual, Linguistic, Solitary",Any,Barbara Kruger,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Builds your Kruger knowledge for the IO — direct address, found images, and consumer critique in three colours.",You can explain what the pronouns (you/I/we) are doing in one work.,Read the slogan aloud. Who is 'you'? Who is 'we'? Answering that is half the analysis.
